@timestamp per second,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,sender_lustre_nic_IO,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
11:09:00 AM,201326592,0,201326592,0,197263360,0,0,3386.7,1252093586,0,201326592,0,197132288,0,199773312,196198400,1.44179958105087
11:09:01 AM,188743680,0,201326592,0,199360512,0,0,3371.3,1252788060,0,197131968,0,192937664,0,199091312,194035712,1.46224367618561
11:09:02 AM,201326592,0,188743680,0,196739072,0,0,3496.7,1251468124,0,192935584,0,197131648,0,197288544,190291968,1.41857206821442
11:09:03 AM,201326592,0,197132288,0,199884800,0,0,3414.7,1250439874,0,197129440,0,188739104,0,194049376,193757184,1.44115227460861
11:09:04 AM,192937984,0,192937984,0,193462272,0,0,3360.8,1251006900,0,197132288,0,201326592,0,196978688,196313088,1.46065777540207
11:09:05 AM,197132288,0,192937984,0,197263360,0,0,3611.5,1253066480,0,201326592,0,197132288,0,199650240,195629056,1.45955735445023
11:09:06 AM,197132288,0,201326592,0,199360512,0,0,3556.6,1251473686,0,197131776,0,192937472,0,198979808,194211840,1.4222509264946
11:09:07 AM,201326592,0,192937984,0,199491584,0,0,3386,1251857462,0,0,0,197129584,0,197030816,193662976,1.46135902404785
11:09:08 AM,201326592,0,192937984,0,194248704,0,0,3452.5,1252124658,0,197129584,0,197132288,0,196293776,196255744,1.4609922170639
11:09:09 AM,197132288,0,201326592,0,198443008,0,0,3400,1251621848,0,197132288,0,197132288,0,199650240,193667072,1.44184273481369
11:09:10 AM,192937984,0,201326592,0,200671232,0,0,3482.6,1252101180,0,197128944,0,192934640,0,196783200,196390912,1.46009677648544
11:09:11 AM,197132288,0,188743680,0,197132288,0,0,3429.3,1252016400,0,201326592,0,201326592,0,199188320,196370432,1.46199554204941
11:09:12 AM,201326592,0,197132288,0,199622656,0,0,3527.4,1251243012,0,197132288,0,197132288,0,199774768,193421312,1.44159460067749
11:09:13 AM,201326592,0,201326592,0,199753728,0,0,3460.6,1251445336,0,197131072,0,192936768,0,196904832,193613824,1.43993318080902
11:09:14 AM,197132288,0,192937984,0,196608000,0,0,3495.7,1252018624,0,197132048,0,192935040,0,196608000,190644224,1.3981819152832
11:09:15 AM,188743680,0,192937984,0,195821568,0,0,3470.3,1250234588,0,192930624,0,192933344,0,191069392,193400832,1.46043121814728
