time_stamp,sender_retrans,sender_read_bytes,sender_remote_ost_read_bytes,sender_write_bytes,sender_remote_ost_write_bytes,receiver_read_bytes,receiver_remote_ost_read_bytes,receiver_write_bytes,receiver_remote_ost_write_bytes,receiver_write_bytes_io,through_put
02:47:26 PM,0,264241152,503316480,0,0,0,0,260046848,247463936,263823360,1.83203125
02:47:27 PM,0,260046848,507510784,0,0,0,0,260046848,260046848,243687424,1.88671875
02:47:28 PM,0,247463936,507510784,0,0,0,0,247463936,247463936,260046848,1.9462890625
02:47:29 PM,0,260046848,507510784,0,0,0,0,260046848,260046848,264241152,1.90234375
02:47:30 PM,0,264241152,507510784,0,0,0,0,264241152,264241152,233426944,1.8056640625
02:47:31 PM,0,260046848,507510784,0,0,0,0,251658240,243269632,261500928,1.92578125
02:47:32 PM,0,247463936,503316480,0,0,0,0,255852544,251658240,249565184,1.8232421875
02:47:33 PM,0,251658240,507510784,0,0,0,0,251656032,264238944,245379072,1.90625
02:47:34 PM,0,268435456,507510784,0,0,0,0,268435456,243269632,264241152,1.8291015625
02:47:35 PM,0,247463936,507510784,0,0,0,0,239075328,251658240,234881024,1.8583984375
02:47:36 PM,0,251658240,507510784,0,0,0,0,255851792,260046848,255856640,1.93359375
02:47:37 PM,0,255852544,507510784,0,0,0,0,260046848,243268880,255197184,1.779296875
02:47:38 PM,0,268435456,507510784,0,0,0,0,264241152,251658240,243924992,1.9423828125
02:47:39 PM,0,251658240,507510784,0,0,0,0,239075328,268435456,260046848,1.83203125
02:47:40 PM,0,251658240,507510784,0,0,0,0,255852544,243269632,239730688,1.873046875
02:47:41 PM,0,251658240,511705088,0,0,0,0,264241152,247463936,251002880,1.9189453125
02:47:42 PM,0,264241152,507510784,0,0,0,0,247463936,260046848,264241152,1.783203125
02:47:43 PM,0,247463936,507510784,0,0,0,0,252174336,243269632,235012096,1.8720703125
02:47:44 PM,0,251658240,511705088,0,0,0,0,255852544,252174336,259915776,1.9208984375
02:47:45 PM,0,423624704,507510784,0,0,0,0,381681664,322961408,473956352,2.7197265625
02:47:46 PM,0,515899392,511705088,0,0,0,0,482344960,482344960,503447552,3.6142578125
02:47:47 PM,0,511705088,507510784,0,0,0,0,461373440,490733568,502812672,3.77899998426437
02:47:48 PM,0,511705088,507510784,0,0,0,0,423624704,419430400,508583936,3.72372990846634
02:47:49 PM,0,511705088,507510784,0,0,0,0,411041792,419430400,503275520,3.78351080417633
02:47:50 PM,0,515899392,511705088,0,0,0,0,440401920,427819008,497741824,3.7294921875
