ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:92(__init__)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:192(_connect_cm)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:232(connect)
4,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:278(__setattr__)
203,0.005,0.000,0.005,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:543(send)
102,0.000,0.000,0.004,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:736(_deserialize)
101,0.000,0.000,0.002,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:804(send_string)
102,0.001,0.000,0.009,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:896(send_json)
102,0.000,0.000,0.004,0.000,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:936(<lambda>)
102,0.401,0.004,0.405,0.004,/usr/local/lib/python3.8/site-packages/zmq/sugar/socket.py:915(recv_json)
102,0.001,0.000,0.004,0.000,/usr/local/lib/python3.8/site-packages/zmq/utils/jsonapi.py:27(loads)
102,0.001,0.000,0.004,0.000,/usr/local/lib/python3.8/site-packages/zmq/utils/jsonapi.py:19(dumps)
102,0.000,0.000,0.004,0.000,/usr/local/lib/python3.8/json/__init__.py:183(dumps)
102,0.001,0.000,0.003,0.000,/usr/local/lib/python3.8/json/__init__.py:299(loads)
102,0.001,0.000,0.002,0.000,/usr/local/lib/python3.8/json/decoder.py:332(decode)
102,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/json/decoder.py:343(raw_decode)
102,0.001,0.000,0.003,0.000,/usr/local/lib/python3.8/json/encoder.py:182(encode)
102,0.002,0.000,0.002,0.000,/usr/local/lib/python3.8/json/encoder.py:204(iterencode)
911,0.003,0.000,0.003,0.000,{built-in method _pickle.loads}
911,0.002,0.000,0.002,0.000,{method 'dump' of '_pickle.Pickler' objects}
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/typing.py:868(__new__)
2,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/typing.py:1149(cast)
1019,0.001,0.000,0.001,0.000,<string>:1(__new__)
914,0.000,0.000,0.000,0.000,{built-in method _struct.pack}
914,0.000,0.000,0.000,0.000,{built-in method _struct.unpack}
1,0.000,0.000,0.000,0.000,{method 'connect' of '_socket.socket' objects}
1,0.000,0.000,0.000,0.000,{function socket.detach at 0x7fcc4d4cbdc0}
1,0.000,0.000,0.000,0.000,{method 'setblocking' of '_socket.socket' objects}
1122,0.001,0.000,0.001,0.000,/usr/local/lib/python3.8/site-packages/psutil/_common.py:748(get_procfs_path)
1,0.000,0.000,0.000,0.000,/usr/local/lib/python3.8/socket.py:219(__init__)
