time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
03:33:33 PM,83886080,0,83230720,0,600440832,0,69,0,80720320,0,83882432,0,87031808,87564288,0.65625
03:33:34 PM,90439680,0,89391104,0,604766208,0,54,0,92266640,0,88072336,0,90570752,91062272,0.679320693016052
03:33:35 PM,92667904,0,91619328,0,599523328,0,42,0,92269536,0,92269536,0,93716480,94158848,0.699056923389435
03:33:36 PM,94371840,0,93192192,0,611450880,0,89,0,96465344,0,92271040,0,93978624,88084480,0.6513671875
03:33:37 PM,91357184,0,90439680,0,599392256,0,27,0,88080384,0,92274688,0,90701824,88211456,0.658203125
03:33:38 PM,90308608,0,89128960,0,602800128,0,38,0,92268840,0,88074536,0,88735744,84942848,0.630859375
03:33:39 PM,86507520,0,85852160,0,595722240,0,14,0,83880232,0,83880232,0,85065728,82845696,0.61328125
03:33:40 PM,84017152,0,82837504,0,590479360,0,21,0,83886080,0,83886080,0,85263408,83230720,0.6205974817276
03:33:41 PM,85065728,0,84672512,0,600309760,0,28,0,83882432,0,79688128,0,84736976,82583552,0.6123046875
03:33:42 PM,84148224,0,82706432,0,597557248,0,20,0,83880232,0,83882432,0,82706432,80748544,0.603515625
03:33:43 PM,82837504,0,82313216,0,596639744,0,38,0,83880232,0,79683728,0,82968576,82579456,0.6162109375
03:33:44 PM,84279296,0,82313216,0,598736896,0,51,0,83886080,0,88080384,0,85852160,85721088,0.6376953125
03:33:45 PM,87293952,0,85983232,0,600047616,0,20,0,88080384,0,83886080,0,86507520,84414464,0.629343390464783
03:33:46 PM,85590016,0,84803584,0,596639744,0,48,0,88074536,0,88074536,0,88342528,86122496,0.647288322448731
03:33:47 PM,87687168,0,86507520,0,599916544,0,62,0,88076736,0,88076736,0,90439680,91488256,0.679331481456757
03:33:48 PM,92930048,0,91357184,0,606208000,0,33,0,96468992,0,92274688,0,93978624,92803072,0.6884765625
03:33:49 PM,94371840,0,93061120,0,605028352,0,58,0,92274688,0,92274688,0,93978624,89923584,0.669678926467896
03:33:50 PM,91488256,0,91488256,0,601620480,0,64,0,88073088,0,88073088,0,88997888,89001984,0.66796875
03:33:51 PM,91095040,0,88080384,0,568328192,0,38,0,96465344,0,92271040,0,94652808,92676096,0.6845703125
03:33:52 PM,93847552,0,94240768,0,607649792,0,49,0,92268840,0,92272488,0,90959624,88616960,0.65625
03:33:53 PM,89915392,0,89653248,0,597164032,0,54,0,83886080,0,83882432,0,86559648,81657856,0.607421875
03:33:54 PM,82837504,0,82968576,0,604766208,0,50,0,83881680,0,83886080,0,82639824,80490496,0.599609375
03:33:55 PM,82051072,0,81133568,0,604766208,0,58,0,83879480,0,79682976,0,82575360,82059264,0.607874989509583
03:33:56 PM,83361792,0,82051072,0,593100800,0,54,0,83883880,0,83881680,0,83623936,83636224,0.6240234375
03:33:57 PM,85590016,0,84017152,0,599130112,0,52,0,83882432,0,83882432,0,84017152,81530880,0.610972106456757
03:33:58 PM,84148224,0,81920000,0,602669056,0,24,0,83883880,0,83883880,0,84803584,82448384,0.6103515625
03:33:59 PM,83623936,0,83230720,0,592838656,0,43,0,83886080,0,79691776,0,84017152,81264640,0.60546875
03:34:00 PM,82706432,0,82444288,0,602669056,0,6,0,83883880,0,83883880,0,84017152,82718720,0.6137615442276
03:34:01 PM,83755008,0,82706432,0,594280448,0,62,0,83878784,0,83878784,0,85065728,82055168,0.612078130245209
03:34:02 PM,84410368,0,82968576,0,601227264,0,34,0,84164752,0,84164752,0,83428400,82849792,0.615816950798035
03:34:03 PM,84410368,0,82968576,0,597164032,0,28,0,83883880,0,79689576,0,83424056,80740352,0.601125359535217
03:34:04 PM,81788928,0,81264640,0,602406912,0,20,0,83882432,0,83886080,0,83232920,82710528,0.6142578125
03:34:05 PM,84017152,0,83361792,0,593494016,0,43,0,83886080,0,83882432,0,83755008,83566592,0.625
03:34:06 PM,86769664,0,83623936,0,597819392,0,33,0,88077432,0,83883880,0,84670312,88223744,0.65625
03:34:07 PM,88604672,0,88866816,0,599392256,0,69,0,88080384,0,88079632,0,89911048,83419136,0.6162109375
03:34:08 PM,83361792,0,84148224,0,604766208,0,33,0,83883880,0,83883880,0,85334416,83496960,0.6259765625
03:34:09 PM,84934656,0,83886080,0,593756160,0,68,0,83878784,0,83878784,0,85327872,82714624,0.6162109375
03:34:10 PM,85196800,0,83230720,0,595066880,0,38,0,83880232,0,83886080,0,84017152,82587648,0.6142578125
03:34:11 PM,85196800,0,83230720,0,600702976,0,36,0,88072336,0,83874384,0,84537792,86384640,0.650390625
03:34:12 PM,89391104,0,87162880,0,598867968,0,58,0,92274688,0,88078184,0,88215104,89391104,0.659886538982391
03:34:13 PM,89260032,0,89522176,0,595329024,0,48,0,0,0,88078184,0,91144272,89526272,0.6708984375
03:34:14 PM,91881472,0,90439680,0,606339072,0,43,0,92272488,0,92274688,0,91505632,85983232,0.6337890625
03:34:15 PM,84017152,0,86245376,0,606208000,0,30,0,88080384,0,83886080,0,87358416,82051072,0.609375
03:34:16 PM,83361792,0,82575360,0,597950464,0,14,0,83886080,0,79691776,0,83492864,83099648,0.62109375
03:34:17 PM,84279296,0,83755008,0,595066880,0,30,0,83886080,0,83886080,0,85065728,83365888,0.623046875
03:34:18 PM,87818240,0,84148224,0,593362944,0,6,0,83883880,0,88078184,0,85676896,84684800,0.625927805900574
03:34:19 PM,84934656,0,85065728,0,602669056,0,28,0,88074536,0,83876584,0,85634208,87715840,0.650390625
03:34:20 PM,87425024,0,87687168,0,596115456,0,51,0,88074536,0,88074536,0,89522176,82558976,0.615234375
03:34:21 PM,83755008,0,83361792,0,596377600,0,35,0,83882432,0,79689576,0,83886080,82411520,0.6171875
03:34:22 PM,85327872,0,83623936,0,591396864,0,42,0,83881680,0,83883880,0,84279296,82497536,0.612142860889435
03:34:23 PM,0,0,82706432,0,598999040,0,54,0,83882432,0,83882432,0,84279296,83759104,0.6220703125
03:34:24 PM,84017152,0,84279296,0,591396864,0,41,0,88073088,0,83878784,0,84803584,82452480,0.61328125
03:34:25 PM,84017152,0,82968576,0,594280448,0,12,0,79688128,0,83880232,0,83623936,81141760,0.6069415807724
03:34:26 PM,82837504,0,81133568,0,594411520,0,44,0,83879480,0,79687376,0,81395712,81018880,0.599636554718018
03:34:27 PM,82968576,0,81920000,0,592183296,0,31,0,83882432,0,83882432,0,84803584,80609280,0.6049724817276
03:34:28 PM,83623936,0,80347136,0,599654400,0,7,0,83886080,0,79691776,0,82179944,86638592,0.646484375
03:34:29 PM,83230720,0,89391104,0,589561856,0,0,0,92274688,0,96468992,0,92014744,94502912,0.703664422035217
03:34:30 PM,94502912,0,95158272,0,602013696,0,0,0,96468992,0,92274688,0,96148176,92930048,0.6923828125
03:34:31 PM,94371840,0,93716480,0,607649792,0,0,0,92274688,0,92274688,0,95741232,92934144,0.69140625
03:34:32 PM,94633984,0,93323264,0,604766208,0,0,0,95936512,0,95936512,0,93978624,93847552,0.6982421875
03:34:33 PM,94896128,0,94371840,0,605028352,0,81,0,96468992,0,92274688,0,95682560,92663808,0.6792072057724
03:34:34 PM,93978624,0,92536832,0,605814784,0,0,0,92271040,0,92271040,0,94109696,93593600,0.7084881067276
03:34:35 PM,94371840,0,95289344,0,603979776,0,0,0,96468992,0,96468992,0,0,94896128,0.701171875
03:34:36 PM,97517568,0,94502912,0,607125504,0,0,0,96468992,0,96468992,0,97255424,93323264,0.69921875
