time_stamp,sender_read_bytes,sender_write_bytes,sender_remote_ost_read_bytes,sender_remote_ost_write_bytes,sender_dtn_read_bytes,sender_dtn_write_bytes,sender_retrans,sender_avg_send_value,receiver_read_bytes,receiver_write_bytes,receiver_remote_ost_read_bytes,receiver_remote_ost_write_bytes,receiver_dtn_read_bytes,receiver_dtn_write_bytes,Differences of Last value of write_bytes_io,through_put
11:38:12 AM,482344960,0,478150656,0,486408192,0,0,24952.4,0,482344960,0,469762048,0,484048896,473522176,3.51953125
11:38:13 AM,482344960,0,461373440,0,485228544,0,0,32291.301,0,469762048,0,469762048,0,482476032,464388096,3.4619140625
11:38:14 AM,469762048,0,486539264,0,478412800,0,0,32291.301,0,486539264,0,486539264,0,472383488,479330304,3.5625
11:38:15 AM,490733568,0,482344960,0,474349568,0,0,31874.699,0,486539264,0,0,0,486408192,475136000,3.541015625
11:38:16 AM,482344960,0,478150656,0,487587840,0,0,15809.8,0,482344960,0,478150656,0,485490688,477888512,3.5517578125
11:38:17 AM,482344960,0,473956352,0,484573184,0,0,25598.801,0,478150656,0,478150656,0,483393536,469278720,3.50390625
11:38:18 AM,482344960,0,469762048,0,482344960,0,0,30975.4,0,490733568,0,469762048,0,478412800,482660352,3.5908203125
11:38:19 AM,494927872,0,494927872,0,481034240,0,0,22767.6,0,452984832,0,486539264,0,490602496,442404864,3.310546875
11:38:20 AM,440401920,0,423624704,0,492175360,0,0,24827,0,423624704,0,444596224,0,452853760,414711808,3.087890625
,,,,,,,,22979.4,,,,,,,,3.0947265625
,,,,,,,,,,,,,,,,0.389815866947174
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,1.1611328125
,,,,,,,,,,,,,,,,3.7744140625
,,,,,,,,,,,,,,,,3.71566367149353
,,,,,,,,,,,,,,,,3.78869569301605
,,,,,,,,,,,,,,,,3.75094419717789
,,,,,,,,,,,,,,,,3.71970498561859
,,,,,,,,,,,,,,,,3.77020573616028
,,,,,,,,,,,,,,,,3.74794977903366
,,,,,,,,,,,,,,,,3.6005859375
,,,,,,,,,,,,,,,,3.84765625
,,,,,,,,,,,,,,,,3.68359375
,,,,,,,,,,,,,,,,3.6455078125
,,,,,,,,,,,,,,,,3.841796875
,,,,,,,,,,,,,,,,3.7021484375
,,,,,,,,,,,,,,,,3.7841796875
,,,,,,,,,,,,,,,,3.73046875
,,,,,,,,,,,,,,,,3.7783203125
,,,,,,,,,,,,,,,,3.6953125
,,,,,,,,,,,,,,,,3.7548828125
,,,,,,,,,,,,,,,,3.79945385456085
,,,,,,,,,,,,,,,,3.68687427043915
,,,,,,,,,,,,,,,,3.5771484375
,,,,,,,,,,,,,,,,3.8720703125
,,,,,,,,,,,,,,,,3.7158203125
